Sample ID,station,Latitude,Longitude,eventDate,Depth,Sample type,Sample depth,Volume filtered,Acidified,δ13CVPDB (‰),Total C (µg),C Comment,δ15NAir (‰),Total N (µg),N Comment
P1,1,48.301,-128.523,2019-02-18T21:30:00+00:00,2300,POM,5,2000,no,-24.94,201.49,NA,4.29,23.79,NA
P2,1,48.301,-128.523,2019-02-18T21:30:00+00:00,2300,POM,5,2000,yes,-25.83,143.26,NA,3.87,19.17,Precision decreases for samples containing less than 20ugN
#3,2,48.183,-129.917,2019-02-19T07:05:00+00:00,2550,POM,5,2000,no,-25.38,113.88,NA,5.09,26.52,NA
#4,2,48.183,-129.917,2019-02-19T07:05:00+00:00,2550,POM,5,2000,yes,-25.98,126.32,NA,4.49,27.3,NA
P3,3,47.667,-136.997,2021-02-19T08:21:00+00:00,4055,POM,5,2000,no,-24.31,161.81,NA,6.12,25.56,NA
P4,3,47.667,-136.997,2021-02-19T08:21:00+00:00,4055,POM,5,2000,yes,-25.08,195.92,NA,5.77,33,NA
P5,4,47.662,-138.5,2022-02-18T18:30:00+00:00,4100,POM,5,2000,no,-24.32,147.41,NA,5.88,24.4,NA
P6,4,47.662,-138.5,2022-02-18T18:30:00+00:00,4100,POM,5,1550,yes,-25.05,140.49,NA,5.34,37.26,NA
P7,5,47.667,-140,2022-02-19T07:00:00+00:00,4100,POM,5,2000,no,-24.98,113.88,NA,2.1,16.86,Precision decreases for samples containing less than 20ugN
P8,5,47.667,-140,2022-02-19T07:00:00+00:00,4100,POM,5,2000,yes,-24.96,110.03,NA,2.68,19.32,Precision decreases for samples containing less than 20ugN
P10,6,47.666,-141.499,2023-02-18T18:00:00+00:00,4200,POM,5,2000,yes,-25.56,116.96,NA,5.58,22.11,NA
P9,6,47.666,-141.499,2023-02-18T18:00:00+00:00,4200,POM,5,2000,no,-23.87,138.81,NA,5.03,21.44,NA
P13,8,47.67,-144.496,2023-02-18T23:45:00+00:00,4500,POM,5,2000,no,-24.58,156.67,NA,3.73,30.74,NA
P14,8,47.67,-144.496,2023-02-18T23:45:00+00:00,4500,POM,5,2000,yes,-25.54,143.36,NA,3.63,25.79,NA
P11,7,47.667,-143,2023-02-19T03:20:00+00:00,4200,POM,5,2000,no,-23.69,137.31,NA,4.67,23.25,NA
P12,7,47.667,-143,2023-02-19T03:20:00+00:00,4200,POM,5,2000,yes,-25.67,139.06,NA,1.62,23.49,NA
P15,9,47.666,-145.866,2024-02-18T20:15:00+00:00,4500,POM,5,2000,no,-24.7,181.88,NA,2.95,29.25,NA
P16,9,47.666,-145.866,2024-02-18T20:15:00+00:00,4500,POM,5,2000,yes,-25.96,168.51,NA,2.45,46.15,NA
P17,10,47.667,-147.5,2024-02-19T04:50:00+00:00,4600,POM,5,2000,no,-24.89,152.62,NA,4.05,22.45,NA
P18,10,47.667,-147.5,2024-02-19T04:50:00+00:00,4600,POM,5,2000,yes,-25.74,142.62,NA,3.17,26.05,NA
P19,11,48.668,-147.5,2025-02-18T14:05:00+00:00,4700,POM,5,2000,no,-24.84,131.78,NA,1.65,20.74,NA
P20,11,48.668,-147.5,2025-02-18T14:05:00+00:00,4700,POM,5,2000,yes,-25.33,111.96,NA,1.62,21.68,NA
P21,12,49.667,-147.5,2025-02-18T23:15:00+00:00,4800,POM,5,2000,no,-24.32,124.35,NA,1.61,19.7,Precision decreases for samples containing less than 20ugN
P22,12,49.667,-147.5,2025-02-18T23:15:00+00:00,4800,POM,5,2000,yes,-26.19,109.9,NA,-0.55,20.65,NA
P23,13,50.667,-147.5,2025-02-19T08:36:00+00:00,4800,POM,5,2000,no,-25.83,103.99,NA,1.9,42.51,NA
P24,13,50.667,-147.5,2025-02-19T08:36:00+00:00,4800,POM,5,2000,yes,-26.16,107.18,NA,0.97,20.91,NA
